duration:180.80416666666667
      note      start        end
instrument:25
        56       46.4 47.99583333333333
        51       48.4 48.59583333333333
        52       48.6 48.795833333333334
        52 48.80416666666667 48.82083333333333
        53 48.829166666666666 48.84583333333333
        54 48.854166666666664 49.19583333333333
        52       49.2 49.395833333333336
        51       49.4 49.59583333333333
        50 49.604166666666664 49.62083333333333
        51 49.62916666666666 49.645833333333336
        52 49.65416666666667 49.99583333333333
        49       50.0 51.59583333333333
        59       52.0 52.020833333333336
        60     52.025 52.045833333333334
        61      52.05 52.395833333333336
        59       52.4 52.59583333333333
        57       52.6 52.795833333333334
        56       52.8 54.395833333333336
        52       55.0 55.020833333333336
        53     55.025 55.045833333333334
        54      55.05 55.395833333333336
        56       55.4 55.59583333333333
        57       55.6 55.795833333333334
        59       55.8 55.99583333333333
        56       56.0 57.59583333333333
        52 58.199999999999996 58.22083333333333
        53     58.225 58.24583333333333
        54      58.25 58.59583333333333
        56       58.6 58.795833333333334
        57       58.8 58.99583333333333
        59       59.0 59.19583333333333
        56 59.199999999999996 60.795833333333334
        51 61.199999999999996 61.395833333333336
        52       61.4 61.59583333333333
        52 61.604166666666664 61.62083333333333
        53 61.62916666666666 61.645833333333336
        54 61.65416666666667 61.99583333333333
        52       62.0 62.19583333333333
        51 62.199999999999996 62.395833333333336
        49       62.4 62.795833333333334
        54 62.80416666666667 62.82083333333333
        55 62.829166666666666 62.84583333333333
        56 62.854166666666664 63.99583333333333
        59       64.8 64.82083333333333
        60     64.825 64.84583333333333
        61      64.85 65.19583333333333
        59       65.2 65.39583333333333
        57       65.4 65.59583333333333
        56       65.6 67.19583333333333
        52       67.8 67.82083333333333
        53     67.825 67.84583333333333
        54      67.85 68.19583333333333
        56       68.2 68.39583333333333
        57       68.4 68.59583333333333
        59       68.6 68.79583333333333
        56       68.8 70.39583333333333
        52       71.0 71.02083333333333
        53     71.025 71.04583333333333
        54      71.05 71.39583333333333
        56       71.4 71.59583333333333
        57       71.6 71.79583333333333
        59       71.8 71.99583333333334
        56       72.0 73.59583333333333
        51       74.0 74.19583333333333
        52       74.2 74.39583333333333
        52 74.40416666666667 74.42083333333333
        53 74.42916666666666 74.44583333333333
        54 74.45416666666667 74.79583333333333
        52       74.8 74.99583333333334
        51       75.0 75.19583333333333
        50 75.20416666666667 75.22083333333333
        51 75.22916666666667 75.24583333333334
        52 75.25416666666666 75.59583333333333
        49       75.6 77.19583333333333
        59       77.6 77.62083333333334
        60     77.625 77.64583333333333
        61      77.65 77.99583333333334
        59       78.0 78.19583333333333
        57       78.2 78.39583333333333
        56       78.4 79.99583333333334
        52       80.6 80.62083333333334
        53     80.625 80.64583333333333
        54      80.65 80.99583333333334
        56       81.0 81.19583333333333
        57       81.2 81.39583333333333
        59       81.4 81.59583333333333
        56       81.6 83.19583333333333
        52       83.8 83.82083333333333
        53     83.825 83.84583333333333
        54      83.85 84.19583333333333
        56       84.2 84.39583333333333
        57       84.4 84.59583333333333
        59       84.6 84.79583333333333
        56       84.8 86.39583333333333
        51       86.8 86.99583333333334
        52       87.0 87.19583333333333
        52 87.20416666666667 87.22083333333333
        53 87.22916666666667 87.24583333333334
        54 87.25416666666666 87.59583333333333
        52       87.6 87.79583333333333
        51       87.8 87.99583333333334
        49       88.0 88.39583333333333
        54 88.40416666666667 88.42083333333333
        55 88.42916666666666 88.44583333333333
        56 88.45416666666667 89.59583333333333
        59       90.4 90.42083333333333
        60     90.425 90.44583333333333
        61      90.45 90.79583333333333
        59       90.8 90.99583333333334
        57       91.0 91.19583333333333
        56       91.2 92.79583333333333
        52       93.4 93.42083333333333
        53     93.425 93.44583333333333
        54      93.45 93.79583333333333
        56       93.8 93.99583333333334
        57       94.0 94.19583333333333
        59       94.2 94.39583333333333
        56       94.4 95.99583333333334
        52       96.6 96.62083333333334
        53     96.625 96.64583333333333
        54      96.65 96.99583333333334
        56       97.0 97.19583333333333
        57       97.2 97.39583333333333
        59       97.4 97.59583333333333
